Time_Var,Sensor1_Var,Sensor2_Var,Sensor3_Var,Time_Mean,Sensor1_Mean,Sensor2_Mean,Sensor3_Mean,Time_Kurt,Sensor1_Kurt,Sensor2_Kurt,Sensor3_Kurt,Time_Skew,Sensor1_Skew,Sensor2_Skew,Sensor3_Skew,Time_Max,Sensor1_Max,Sensor2_Max,Sensor3_Max,Time_Min,Sensor1_Min,Sensor2_Min,Sensor3_Min,Time_Median,Sensor1_Median,Sensor2_Median,Sensor3_Median,Time_Std,Sensor1_Std,Sensor2_Std,Sensor3_Std,Activity
4205337708271.831,2.4080709797084157e+32,3.209707798116129e+32,1.467813316185805e+32,3492429.146067416,1.664423709558641e+16,-2732190974433442.0,1.0929673042833138e+16,-1.2000001426684546,-0.7580715151188349,1.5942136023081939,15.707991327429227,-8.051159191490411e-07,0.6566100261053596,0.3055250971985585,3.879465911117231,6984856,62230000495910645,54999999701976776,74120001792907715,0,3375,-50999999046325684,109399995803833,3492430.0,5534999847412109.0,-3240000009536743.0,8654999732971191.0,2050692.0071702213,1.5517960496497004e+16,1.791565739267228e+16,1.2115334564863676e+16,down
5197566984180.561,2.5391518840117848e+32,1.9745211534978572e+32,1.7034473812726834e+32,3889279.898989899,1.4048034280719178e+16,1913819210005529.5,1.0960970652705578e+16,-1.1999999150891305,1.1994110174749162,1.935827543195563,14.469971689959031,-2.743916451195024e-07,1.459939283198581,-0.032824913153983074,3.824709639410646,7778559,67829999923706055,42500001192092896,74629998207092285,0,175600004196167,-45100000500679016,7875,3889280.0,5729000091552734.0,860000029206276.0,8842000007629395.0,2279817.313773312,1.5934716451860024e+16,1.4051765559878436e+16,1.3051618218721706e+16,down
6882854272907.208,1.6761420821871585e+32,3.5716871044819446e+32,1.4917757652527114e+32,4484581.201754386,1.045502363730941e+16,-1245315742205108.8,1.0390643457948204e+16,-1.1999999046342955,4.0060819304361175,1.3235071609077793,13.076067376512764,9.532809194591748e-07,2.0805931577283023,0.37878114546367353,3.5119543254599686,8969165,57129998207092285,52000001072883606,70960001945495605,0,-6140000224113464,-47699999809265137,90,4484579.5,5194999933242798.0,-1812000036239624.0,8463999748229980.0,2623519.443973535,1.2946590602112814e+16,1.8898907652247904e+16,1.221382726770242e+16,down
5197602826844.285,2.621903899812956e+32,1.8617817400405266e+32,1.6942235027046413e+32,3889292.8585858587,1.3082511152763566e+16,-3331707112641637.0,1.0317341941583036e+16,-1.2000001794857846,3.9764926285059277,1.308514159454658,17.7345512433474,-1.7941291761909877e-07,2.06633954247095,-0.8638841716112453,4.110672738091124,7778585,76529998779296875,23199999332427979,79730000495910645,0,-4749999940395355,-47699999809265137,124350004196167,3889293.0,5515999794006348.0,-820000022649765.0,8369999885559082.0,2279825.1746228887,1.6192294154359216e+16,1.3644712309317946e+16,1.3016234104781004e+16,down
6882867754405.767,2.1325006259215047e+32,2.935531698296503e+32,2.2074365557441174e+32,4484586.403508772,1.244345003993893e+16,-3840806090125912.0,1.1988231973397114e+16,-1.1999999025204704,2.981807317552716,1.3451766577146969,10.03764747524022,3.0957432076357716e-07,1.8552892959441276,-0.02901653238814882,3.252542293657317,8969174,69079999923706055,49000000953674316,74670000076293945,0,725,-54999999701976776,110,4484585.5,5626499891281128.0,-3774999976158142.0,8421500205993652.0,2623522.0133259348,1.460308400962449e+16,1.7133393412562798e+16,1.4857444449649198e+16,down
7375377768622.227,2.246181606660177e+32,2.6698116287330537e+32,8.671711868382231e+31,3329296.406926407,1.3047675741931576e+16,20347159297826.215,9004978161271061.0,-1.0256606563175192,1.7127414636123897,1.1793123687194935,35.29472344422277,0.6615754119611901,1.5886502657410346,-0.09336924430666645,5.508327976495889,8373877,64070000648498535,47099998593330383,78480000495910645,0,-8529999852180481,-48399999737739563,575,2281983.0,5638000011444092.0,1120000034570694.0,8494999885559082.0,2715764.6747504147,1.4987266617566316e+16,1.6339558221485224e+16,9312202676264210.0,down
7248284675076.775,3.0215623184979624e+32,2.0213000344868822e+32,1.4698098032075613e+32,4603649.88034188,1.491727993614654e+16,2579040170893964.0,9426026085177104.0,-1.1999994933821394,2.0509664424857093,2.3575818815851584,22.05682538415187,6.438658185030755e-07,1.6539731910357829,-0.09586597235435633,4.560491324676826,9207302,77870001792907715,48500001430511475,79679999351501465,0,99350004196167,-39500001072883606,7875,4603649.0,5961999893188477.0,3869999945163727.0,8057000160217285.0,2692263.8568826746,1.7382641682143604e+16,1.4217243173297988e+16,1.2123571269257096e+16,down
6763164560632.362,2.9312183230223733e+32,2.74769986215695e+32,1.547667473093425e+32,4444899.725663717,1.318193804690276e+16,-1801150395740977.8,9857952234808572.0,-1.2000002360253874,3.0802500882221473,1.0324455995936495,16.160204297032582,-2.0670875818043625e-07,1.9430054351597486,-0.10053732868303925,3.975803230381238,8889799,77769999504089355,49900001287460327,72179999351501465,0,3375,-48899999260902405,85,4444900.0,5578999996185303.0,-2322999954223633.0,8095000267028809.0,2600608.4981466094,1.712080115830557e+16,1.6576187324463216e+16,1.2440528417609218e+16,down
5733070605431.785,2.4752717280099056e+32,2.9222815492859105e+32,2.005259011157336e+32,4087711.519230769,1.2294680774785096e+16,-3968451902915079.0,1.1414078798660864e+16,-1.199999948645262,4.014582452182431,1.8091558882610776,13.308883880016976,-2.066788194117506e-07,2.130882445721956,-0.9793380398785899,3.666398265176354,8175422,68460001945495605,36800000071525574,76519999504089355,0,35,-57999998331069946,511299991607666,4087711.5,5722499847412110.0,-1156000018119812.0,8277999877929688.0,2394383.136724736,1.5732996307156198e+16,1.7094682065735854e+16,1.4160716829162766e+16,down
4688311482657.025,2.719552476913196e+32,2.5103384757700513e+32,2.439851083228571e+32,3690848.085106383,1.4700366057106794e+16,-1065074475125435.2,1.1713576566919366e+16,-1.199999990781749,2.489109185529992,1.203191482025574,10.752906841657945,-2.688607704259861e-07,1.562413230387525,-0.10543957198864687,3.3662215279902297,7381695,76620001792907715,42500001192092896,78480000495910645,0,-6570000052452087,-47699999809265137,647599983215332,3690848.5,5936999857425690.0,-1206499993801117.0,8531000137329102.0,2165250.905243322,1.6491065693014494e+16,1.584404770180288e+16,1.562002267357052e+16,down
2379494719122.6655,1.659656167482649e+32,3.718491917707534e+32,1.79721575662001e+32,2656906.427509294,9021885491281654.0,-4476766179524173.0,7097706386169982.0,-1.2000170040042517,2.8505202648296177,4.2045518419023225,8.116216748163572,3.0337092451250263e-05,1.5760171715616664,-0.2573666303177494,-0.04029788700665741,5313848,50920000076293945,78979997634887695,72779998779296875,0,-25280001163482666,-79039998054504395,-53979997634887695,2656871.0,4934000015258789.0,-4203999996185303.0,8571000099182129.0,1542561.090888353,1.2882764328678256e+16,1.9283391604454684e+16,1.3406027586947634e+16,run
2684017580690.5034,2.5687517286918482e+32,4.356714386066303e+32,1.7564168675736796e+32,2778151.8028169014,1.2581266333603632e+16,-1354378896741801.0,6606945067056613.0,-1.2000000301330278,-0.9495276672287005,1.2914169853149753,9.994559751123205,-3.7084659950427965e-07,0.03971689681443887,0.07227915692096279,1.551533062880351,5556303,39860000610351562,54710001945495605,73379998207092285,0,-25369999408721924,-58420000076293945,-35199999809265137,2778152.0,5236000061035156.0,-3078000068664551.0,7966000080108643.0,1638297.1588483278,1.6027325817777114e+16,2.0872743916568092e+16,1.3252987842647708e+16,run
8966948516285.79,2.401555038456481e+32,2.6915807772137526e+32,6.971132570860505e+31,3304122.74025974,9254660595289044.0,4368158875450943.0,8970710974103450.0,0.20076456875603377,1.0929983199806559,0.7471173861182794,4.977457654693271,1.1643579911940867,0.3626258885433021,-0.25439833511862264,0.8976769853449651,10766266,51620001792907715,54999999701976776,54720001220703125,0,-39800000190734863,-45500001311302185,-17070000171661377,2280261.0,4427000045776367.0,4749999940395355.0,8935999870300293.0,2994486.352663139,1.5496951437158474e+16,1.6406037843470168e+16,8349330853943030.0,run
3313451194202.753,2.4134456080994464e+32,2.7048028936579885e+32,2.2752755559842832e+32,3093364.1265822784,1.6774716582479356e+16,424493627052143.56,8311960599875150.0,-1.2000070028512795,-1.3786830448161649,0.6860113356496371,11.651683463164101,1.7619703661101367e-05,0.3645319081647639,-0.3420153318540152,-0.37514645223155113,6186801,42779998779296875,39189999103546143,79629998207092285,0,-15499999523162842,-45100000500679016,-54070000648498535,3093353.0,9490000009536744.0,1289999932050705.0,9291999816894532.0,1820288.766707841,1.5535268288959308e+16,1.6446284971561172e+16,1.5084016560532818e+16,run
2680006719708.9697,3.403081355954466e+32,3.343109155834357e+32,1.3005878058392664e+32,2776074.3380281692,1.0012336517471726e+16,2554243737522106.5,5537869069823917.0,-1.2000064395706944,0.5380336835504247,1.3211392415003553,4.62415988926284,4.320175902940136e-06,0.5897540799824164,0.5872186705440477,-0.5384601193711195,5552157,55229997634887695,60269999504089355,39200000762939453,0,-38540000915527344,-36899998784065247,-33550000190734863,2776065.0,4632999897003174.0,1770000010728836.0,8246000289916992.0,1637072.6067309813,1.8447442521808996e+16,1.8284171175731092e+16,1.140433165880082e+16,run
2459895249987.6045,2.958128945504146e+32,4.187903970310832e+32,9.809637565871904e+31,2657150.3529411764,1.338202941593004e+16,831132521962418.1,6395363086080692.0,-1.1999855030648923,-0.5649835118184474,0.4164709742412782,2.4604218861421625,7.2738253013100665e-06,0.45087048359488463,0.07821540129534654,-0.4735167238371645,5314304,51020002365112305,53520002365112305,35999998450279236,0,-19499999284744263,-48399999737739563,-22269999980926514,2657159.5,5429999828338623.0,854500025510788.0,8598000049591064.0,1568405.320696026,1.7199212032834952e+16,2.0464368962445024e+16,9904361446288148.0,run
2832532245029.536,1.9909589251489018e+32,3.2785651132985485e+32,2.0460203647911105e+32,2855612.821917808,1.1194658963974208e+16,-81386314454959.23,8830651840445133.0,-1.2000105114895594,-0.2741207285033975,0.7760967148256399,7.834423568372552,4.81631711396665e-07,0.810958412331153,-0.2482715089149486,1.5492631931391763,5711261,39760000705718994,43700000643730164,73379998207092285,0,-11790000200271606,-49120001792907715,-39749999046325684,2855627.0,4502999782562256.0,843999981880188.0,8815999984741211.0,1683012.8475533205,1.4110134390390836e+16,1.8106808424729492e+16,1.430391682299331e+16,run
2910233155854.063,2.2495625012457256e+32,2.490570937438592e+32,1.270473204761572e+32,2895319.7837837837,9365082463541592.0,6180967535199345.0,7914412181764035.0,-1.1999962319126491,-0.08347343972526522,1.9245200292634554,10.610509731951803,3.691329298547722e-05,0.3153483842224924,-0.10864978871781915,1.3885136201948112,5790720,44120001792907715,52000001072883606,65329999923706055,0,-27170000076293945,-38600000739097595,-31299999356269836,2895289.5,4500999927520752.0,4694999903440476.0,8736999988555908.0,1705940.54874549,1.4998541599921392e+16,1.5781542818871012e+16,1.1271526980678226e+16,run
2680949870448.4136,3.065086542721969e+32,3.0119551908264962e+32,2.0274938790400017e+32,2776537.9859154928,1.1997183104887906e+16,-254225365397795.88,7466443717446126.0,-1.2000126696723346,2.2574975052299324,2.152119838620658,12.668158543560462,4.945790898929646e-06,1.6225804689319048,-0.621167955627692,1.134602553794523,5553100,64670000076293945,48460001945495605,79730000495910645,0,-15549999475479126,-54079999923706055,-51529998779296875,2776534.0,4679999828338623.0,2939999997615814.0,7815000057220459.0,1637360.6415351548,1.7507388562324104e+16,1.7354985424443594e+16,1.4239009372284302e+16,run
1858666995446.7249,2.8763683715796936e+32,3.1869442550025752e+32,9.324966942542912e+31,2301907.3898305083,1.0565308566214682e+16,7428603490075824.0,7983784733788442.0,-1.1999998548284043,4.561367863194562,0.8748977230101711,4.987656422434874,-4.892208745103836e-07,1.7271813465476462,0.04090128858512029,-1.3134260613884408,4603814,77270002365112305,52000001072883606,30819000244140625,0,-24010000228881836,-37219998836517334,-30190000534057617,2301908.0,4702000141143799.0,4948999881744385.0,8725000381469727.0,1363329.3789274567,1.6959859585443782e+16,1.7852014606207824e+16,9656586841396350.0,run
4395616053635.8545,2.6214610267996417e+32,3.1806378274382793e+32,1.5399130421395138e+32,3571893.89010989,1.8549148342111664e+16,1828769226445929.5,9803434606489260.0,-1.199999982577079,-1.8678628645077597,2.3235120474062945,22.866697926950067,-6.135354161057413e-07,0.2285815635808746,-0.3089964445862049,4.6841501197447695,7143786,42829999923706055,54999999701976776,77210001945495605,0,5375,-57999998331069946,975,3571895.0,6309000015258789.0,3869999945163727.0,9170000076293944.0,2096572.4537052982,1.619092655409085e+16,1.7834342789792618e+16,1.240932327784039e+16,sit
1858566613400.0115,1.8746650644168047e+32,4.1496505421621784e+32,1.2537549332068226e+31,2301844.4576271186,1.0331881436655156e+16,9239322072494838.0,7297749189279847.0,-1.2000000732650533,2.214579418367802,2.423240551219982,0.36131310481932966,-4.771196551702429e-07,1.9224627706909587,-0.6741978716569689,-0.9915424533236935,4603689,46519999504089355,47099998593330383,15746999740600586,0,4625,-57999998331069946,90,2301845.0,4400000095367432.0,5619999766349792.0,8847000122070312.0,1363292.5633920298,1.3691840871178736e+16,2.037069105887716e+16,3540840201430760.0,sit
2759590608855.0986,1.3069696646877146e+32,2.9794419670934985e+32,7.610521612786582e+31,2817821.5,8197131917874020.0,8681888910113936.0,7801681926515490.0,-1.2000005626567567,5.5692453488242135,1.2405912437466728,49.76138106310347,-5.172719719541763e-08,2.5162784251831907,0.8637675044441933,6.394596531389017,5635644,49770002365112305,52000001072883606,74629998207092285,0,249399995803833,-31200000643730164,9125,2817821.5,5030999898910522.0,5419999957084656.0,8595000267028808.0,1661201.555758692,1.1432277396423316e+16,1.726106012704173e+16,8723830358728087.0,sit
4205524208888.734,2.716467869421847e+32,2.6215928046832937e+32,1.1783322228588253e+32,3492505.7528089886,1.3043218015820866e+16,1400179682613416.8,8860520775719973.0,-1.1999998401603977,0.43570671095001634,1.3724647057408528,34.57493318911938,-1.4070937909698264e-07,1.4283819594684617,0.037931862246345795,5.650020060329888,6985012,62129998207092285,47099998593330383,78429999351501465,0,6125,-37400001287460327,83100004196167,3492506.0,5138000011444092.0,3720000088214874.0,8609999656677246.0,2050737.4792714776,1.6481710680089754e+16,1.619133349876808e+16,1.0855101210301198e+16,sit
